course,branch,category,cutoff_rank
ENGG,"CA CS (AI, MachineLearning)",2AH,75757
ENGG,CS Computers,2AH,63860
ENGG,EC Electronics,2AH,85019
ENGG,CS Computers,2AH,116886
ENGG,Bus Sys.,2AH,175035
ENGG,CS Computers,2AH,80549
ENGG,EC Electronics,2AH,114397
ENGG,CE Civil,2AH,246652
ENGG,CS Computers,2AH,123090
ENGG,EC Electronics,2AH,147979
ENGG,EE Electrical,2AH,198623
ENGG,"AD ArtificialIntel, Data Sc",2AH,174019
ENGG,CS Computers,2AH,130367
ENGG,EC Electronics,2AH,170923
ENGG,"CA CS (AI, MachineLearning)",2AH,13927
ENGG,CS Computers,2AH,9683
ENGG,IE Info.Science,2AH,12597
ENGG,CS Computers,2AH,119176
ENGG,EE Electrical,2AH,177086
ENGG,Intelligence,2AH,151066
ENGG,CS Computers,2AH,135035
ENGG,CS Computers,2AH,93704
ENGG,EE Electrical,2AH,223816
ENGG,BM Bio Medical,2AH,135140
ENGG,CS Computers,2AH,70258
ENGG,Data Sc.,2AH,105882
ENGG,CS Computers,2AH,10056
ENGG,CS Computers,2AH,13050
ENGG,EC Electronics,2AH,17241
ENGG,CS Computers,2AH,10681
ENGG,EC Electronics,2AH,14759
ENGG,BW B Tech in CS,2AH,15898
ENGG,Security,2AH,12760
ENGG,CS Computers,2AH,100404
ENGG,CS Computers,2AH,57199
