Unnamed: 0,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
GG BSC NURSINGOVT,96641,--,--,97751,--,--,87453,--,--,--,--,--,87622,--,--,69834,--,81622,91237,--,--,95980,--,--
GG BSC NURSINGOVT,--,--,--,--,--,14500,--,--,--,14907,--,--,--,--,44970,35717,--,--,145909,--,--,52583,--,--
GG BSC NURSINGOVT,149745,--,--,45153,--,14821,--,--,--,--,--,--,--,--,--,40315,--,4365,146972,--,49717,--,--,--
GG BSC NURSINGOVT,--,--,--,20446,--,--,12741,--,--,11787,--,--,--,--,--,13890,--,1834,128369,30461,36556,--,--,--
GG BSC NURSINGOVT,--,--,--,48160,--,--,--,--,--,15468,--,--,43451,--,--,42136,--,4542,145490,--,--,51647,--,--
GG BSC NURSINGOVT,--,--,--,30488,--,--,--,--,--,--,--,--,29204,--,--,24753,--,--,--,45152,43440,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,14948,14222,--,--,14698,--,--,--,--,--,37854,--,--,147127,--,--,--,--,--
GG BSC NURSINGOVT,133954,--,--,11891,--,--,--,--,--,--,--,--,13168,--,--,10062,--,2115,112368,--,46968,55500,--,--
GG BSC NURSINGOVT,147605,--,--,50166,--,--,15216,--,--,--,--,--,--,--,--,45104,--,4870,148546,--,--,57060,--,--
GG BSC NURSINGOVT,143532,--,--,41682,--,--,--,--,--,--,--,--,38045,--,--,33713,--,--,145586,--,--,52986,--,--
GG BSC NURSINGOVT,--,--,--,17342,--,--,11640,--,--,12332,--,--,--,--,--,12303,--,1412,140269,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,47381,--,--,--,--,--,14438,--,--,--,--,--,37061,--,--,--,--,--,37900,--,--
GG BSC NURSINGOVT,149618,--,--,--,5261,--,--,--,--,15568,--,--,--,--,--,47758,48411,4903,148801,--,52283,56215,--,--
